id,roboshaul_nakdimon,phonikud,phonikud_enhanced
llm1_1,0,1,0
llm1_2,0,1,0
llm1_3,1,1,1
llm1_4,2,1,1
llm1_5,1,0,0
llm1_6,1,1,1
llm1_7,1,0,0
llm1_8,0,1,0
llm1_10,0,0,0
llm1_11,0,1,0
llm1_12,0,0,1
llm1_13,0,0,1
llm1_14,1,0,0
llm1_15,0,1,1
llm1_16,2,2,0
llm1_17,0,0,0
llm1_18,0,0,1
llm1_19,1,0,0
llm1_20,2,2,2
llm1_21,0,1,0
llm1_22,1,1,0
llm1_23,0,1,1
llm1_24,1,1,1
llm1_25,0,0,0
llm1_26,1,1,1
llm1_27,0,1,0
llm1_28,0,0,0
llm1_29,1,1,0
llm1_30,0,1,0
llm1_31,0,1,0
llm1_32,2,2,0
llm1_33,0,1,0
llm1_34,1,2,1
llm1_35,0,2,0
llm1_36,0,2,0
llm1_37,0,1,0
llm1_38,2,1,1
llm1_39,0,1,0
llm1_40,0,1,0
llm1_41,0,3,0
llm1_42,1,1,0
llm1_43,0,2,0
llm1_44,0,1,0
llm1_45,1,1,0
llm1_47,1,1,0
llm1_48,1,1,0
llm1_49,2,2,1
llm1_50,1,1,0
llm1_51,1,2,0
llm1_52,2,2,1
llm1_53,1,1,0
llm1_54,1,1,0
llm1_55,1,1,0
llm1_56,0,1,0
llm1_56,1,2,0
llm1_57,1,3,0
llm1_58,2,1,0
llm1_59,1,0,1
llm1_60,1,2,0
llm1_61,0,1,0
llm1_62,2,2,0
llm1_63,0,0,0
llm1_64,0,0,0
llm1_65,0,0,0
llm1_66,1,1,0
llm1_67,0,0,0
llm1_68,0,0,0
llm1_69,0,0,0
llm1_70,0,1,1
llm1_71,0,0,0
llm1_72,1,0,0
llm1_73,1,0,0
llm1_74,1,2,0
llm1_75,0,0,0
llm1_76,0,0,0
llm1_77,2,0,1
llm1_78,0,0,1
llm1_79,0,0,1
llm1_80,0,1,0
llm1_81,1,1,1
llm1_82,1,1,1
llm1_83,1,1,1
llm1_84,1,1,1
llm1_85,1,1,1
llm1_86,1,1,1
llm1_87,1,1,1
llm1_88,1,1,1
llm1_89,1,1,1
llm1_90,1,1,1
llm1_91,0,0,0
llm1_92,0,0,0
llm1_93,0,2,0
llm1_94,0,0,0
llm1_95,0,0,1
llm1_96,0,0,0
llm1_97,0,0,1
llm1_98,0,0,0
llm1_99,1,0,0
llm1_100,0,0,0
llm1_101,1,1,1
llm1_102,2,1,0
llm1_103,0,2,1
llm1_104,2,2,1
llm1_105,0,1,0
llm1_106,0,0,1
llm1_107,1,2,1
llm1_108,1,0,1
llm1_109,0,0,0
llm1_110,2,2,1
llm1_111,1,0,0
llm1_112,0,0,1
llm1_113,0,0,0
llm1_114,0,0,0
llm1_115,1,0,0
llm1_116,1,0,0
llm1_117,0,0,1
llm1_118,0,0,0
llm1_119,1,1,0
llm1_120,0,2,0
llm1_121,0,1,1
llm1_122,0,2,0
llm1_123,1,2,0
llm1_124,1,1,0
llm1_125,0,0,0
llm1_126,0,1,0
llm1_127,1,1,0
llm1_128,0,1,0
llm1_129,0,0,1
llm1_130,0,0,0
llm1_131,0,0,0
llm1_132,2,0,0
llm1_133,1,1,0
llm1_134,0,1,0
llm1_135,1,0,0
llm1_136,1,1,0
llm1_137,1,0,0
llm1_138,1,0,0
llm1_139,3,1,0
llm1_140,1,1,0
llm1_141,0,1,0
llm1_142,0,1,0
llm1_143,1,0,0
llm1_144,2,1,0
llm1_145,0,0,0
llm1_146,0,0,0
llm1_147,0,1,0
llm1_148,0,2,1
llm1_149,0,0,0
llm1_150,0,2,0
llm1_151,0,1,0
llm1_152,0,2,0
llm1_153,1,1,0
llm1_154,1,1,0
llm1_155,0,1,0
llm1_156,1,0,0
llm1_157,0,0,0
llm1_158,1,0,0
llm1_159,0,2,0
llm1_160,0,1,0
llm1_161,1,1,0
llm1_162,0,0,0
llm1_163,0,0,0
llm1_164,0,0,0
llm1_165,0,0,0
llm1_166,0,0,0
llm1_167,2,1,0
llm1_168,0,1,0
llm1_169,0,1,1
llm1_170,0,0,0
llm1_171,0,2,0
llm1_172,0,0,0
llm1_173,1,1,0
llm1_174,0,1,0
llm1_175,0,0,0
llm1_176,1,0,0
llm1_177,0,0,0
llm1_178,0,0,0
llm1_179,1,0,0
llm1_180,0,1,0
llm1_181,2,1,0
llm1_182,0,0,0
llm1_183,0,1,1
llm1_184,0,1,0
llm1_185,1,1,0
llm1_186,0,0,0
llm1_187,0,0,0
llm1_188,0,0,0
llm1_189,0,0,0
llm1_190,1,1,0
llm1_191,1,0,0
llm1_192,0,0,0
llm1_193,1,1,0
llm1_194,0,0,0
llm1_195,0,0,0
llm1_196,1,0,0
llm1_197,2,2,0
llm1_198,0,1,0
llm1_199,0,1,0
llm1_200,1,0,0
llm1_201,0,0,0
llm1_202,0,0,0
llm1_203,0,0,0
llm1_204,0,1,0
llm1_205,0,0,0
llm1_206,0,0,0
llm1_207,0,0,0
llm1_208,1,1,0
llm1_209,0,0,0
llm1_210,1,1,1
llm1_211,0,2,0
llm1_212,1,2,0
llm1_213,0,0,0
llm1_214,0,0,0
llm1_215,0,1,0
llm1_216,1,1,1
llm1_217,1,0,0
llm1_218,0,0,0
llm1_219,1,1,0
llm1_220,0,0,0
llm1_221,2,0,2
llm1_222,1,1,1
llm1_223,1,0,1
llm1_224,1,1,0
llm1_225,1,0,1
llm1_226,1,1,1
llm1_227,1,0,1
llm1_228,2,0,0
llm1_229,2,1,0
llm1_230,1,0,0
llm1_231,0,1,0
llm1_232,0,0,0
llm1_233,1,2,0
llm1_234,0,1,0
llm1_235,0,0,1
llm1_236,0,1,0
llm1_237,0,0,1
llm1_238,0,2,2
llm1_239,0,1,1
llm1_240,0,0,1
gold_017_line_048,1,0,0
gold_000_line_101,0,0,0
gold_021_line_040,0,0,0
gold_007_line_150,1,1,0
gold_001_line_348,0,0,0
gold_020_line_002,0,0,0
gold_011_line_114,0,1,0
gold_021_line_014,0,0,0
gold_021_line_057,0,0,0
gold_002_line_310,0,2,0